1|0:42:0|{0.0,0.5,0.5,1.0}{0.0,0.5,0.5,1.0}{0.0,0.5,0.5,1.0}{0.0,0.5,0.5,1.0}{1.0,1.0,1.0,1.0}{1.0,1.0,1.0,1.0}{1.0,1.0,1.0,1.0}{1.0,1.0,1.0,1.0}{1.0,1.0,1.0,1.0}{1.0,1.0,1.0,1.0}{1.0,1.0,1.0,1.0}{1.0,1.0,1.0,1.0}{1.0,1.0,1.0,1.0}{1.0,1.0,1.0,1.0}{1.0,1.0,1.0,1.0}{1.0,1.0,1.0,1.0}
2|0:43:500|{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}{0.19921875,0.796875,0.796875,1.0}{0.19921875,0.796875,0.796875,1.0}{0.19921875,0.796875,0.796875,1.0}{0.19921875,0.796875,0.796875,1.0}{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}
3|0:45:0|{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}{0.59765625,0.59765625,1.0,1.0}{0.59765625,0.59765625,1.0,1.0}{0.59765625,0.59765625,1.0,1.0}{0.59765625,0.59765625,1.0,1.0}{1.0,1.0,1.0,1.0}{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}
4|0:46:500|{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}{0.59765625,0.59765625,1.0,1.0}{0.796875,1.0,1.0,1.0}{0.796875,1.0,1.0,1.0}{0.796875,1.0,1.0,1.0}
5|0:48:0|{0.0,0.5,0.5,1.0}{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}{0.19921875,0.796875,0.796875,1.0}{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}{0.59765625,0.59765625,1.0,1.0}{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}{0.59765625,0.59765625,1.0,1.0}{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}
6|0:49:500|{0.0,0.0,0.0,1.0}{0.0,0.5,0.5,1.0}{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}{0.19921875,0.796875,0.796875,1.0}{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}{0.59765625,0.59765625,1.0,1.0}{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}{0.59765625,0.59765625,1.0,1.0}{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}
7|0:51:0|{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}{0.0,0.5,0.5,1.0}{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}{0.19921875,0.796875,0.796875,1.0}{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}{0.59765625,0.59765625,1.0,1.0}{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}{0.59765625,0.59765625,1.0,1.0}{0.0,0.0,0.0,1.0}
8|0:52:500|{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}{0.0,0.5,0.5,1.0}{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}{0.19921875,0.796875,0.796875,1.0}{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}{0.59765625,0.59765625,1.0,1.0}{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}{0.59765625,0.59765625,1.0,1.0}
9|0:54:0|{0.0,0.5,0.5,1.0}{0.0,0.5,0.5,1.0}{0.0,0.5,0.5,1.0}{0.0,0.5,0.5,1.0}{1.0,1.0,1.0,1.0}{1.0,1.0,1.0,1.0}{1.0,1.0,1.0,1.0}{1.0,1.0,1.0,1.0}{1.0,1.0,1.0,1.0}{1.0,1.0,1.0,1.0}{1.0,1.0,1.0,1.0}{1.0,1.0,1.0,1.0}{1.0,1.0,1.0,1.0}{1.0,1.0,1.0,1.0}{1.0,1.0,1.0,1.0}{1.0,1.0,1.0,1.0}
10|0:55:500|{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}{0.19921875,0.796875,0.796875,1.0}{0.19921875,0.796875,0.796875,1.0}{0.19921875,0.796875,0.796875,1.0}{0.19921875,0.796875,0.796875,1.0}{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}
